,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,NFLX Position,NFLX Order,NFLX Filled Order,NFLX Trade Price,NFLX Cost to Trade,NFLX PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,AMZN Position,AMZN Order,AMZN Filled Order,AMZN Trade Price,AMZN Cost to Trade,AMZN PnL
2016-09-27,-0.8360373022999996,12.323661014039997,570108.2781764016,567134.468036,1123236.6101404014,-491,5,5,113.0,0.9599989999999821,-104.66952299999814,-143,8,8,95.04,1.3359999999999446,-364.1059999999987,-324,5,5,775.5,2.9175000000002456,-2860.5674999999856,-99,18,18,154.32,2.7000000000002045,-285.0300000000023,-280,0,0,801.85,0.0,-4746.000000000013
2016-09-26,0.6147745494899985,13.159698316339998,558613.3726674013,566762.5885119999,1131596.9831634015,-496,-29,-29,111.639999,7.597997099999938,-122.9470051000031,-151,0,0,95.38,0.0,208.3799999999993,-329,-7,-7,782.74,2.3730000000002294,4143.51699999998,-117,12,12,154.46,1.9979999999998883,121.24199999999989,-280,-11,-11,801.8,4.19650000000056,1797.553500000008
2016-09-23,0.08450108876000345,12.544923766849998,568110.0790695015,557243.4795329999,1125449.2376685014,-467,4,4,114.41999799999999,0.5880004000000213,892.1838876000003,-151,1,1,95.75,0.18249999999999603,-16.712499999999913,-322,13,13,786.59,8.716500000000497,99.1635000000186,-129,14,14,155.62,2.4710000000001404,150.15900000000306,-269,3,3,803.13,2.0430000000000517,-279.7829999999877
2016-09-22,-0.8478319033600011,12.460422678089994,561970.2500779014,573469.661413,1124604.2267809017,-471,-7,-7,114.349998,1.2424985999999878,-499.6125335999968,-152,-3,-3,95.54,0.8759999999999792,-143.2960000000004,-335,1,1,780.0,0.5429999999999836,-3685.973000000003,-143,11,11,156.15,2.0954999999999075,-91.85550000000174,-272,-3,-3,794.27,2.05200000000018,-4057.58200000001
2016-09-21,-0.3886129370550022,13.308254581449994,574251.1690625013,564025.921392,1133082.5458145014,-464,11,11,113.849998,1.985500549999975,4.213129449995032,-149,-2,-2,96.9,0.3500000000000057,499.0800000000006,-336,12,12,772.66,4.080000000000109,-1635.24000000002,-154,15,15,154.91,3.089999999999918,-176.31000000000196,-269,5,5,783.25,1.8425000000000864,-2577.8724999999954
2016-09-20,-0.3351757520999965,13.696867518504998,564095.3023350511,576721.51,1136968.6751850513,-475,-29,-29,113.050003,7.148500000000093,-17.767520999993415,-147,-4,-4,98.78,0.9059999999999718,-25.95599999999964,-348,-7,-7,769.0,4.045999999999663,-1968.025999999973,-169,9,9,155.87,1.6379999999999426,60.34200000000275,-274,-10,-10,776.0,6.470000000000255,-1400.3500000000017
2016-09-19,0.2538793715999965,14.03204327060499,573227.4518140515,557976.220892,1140320.4327060513,-446,0,0,115.190002,0.0,597.6382159999933,-143,-4,-4,99.9,0.8900000000000091,203.85000000000022,-341,9,9,772.42,3.1905000000000654,1049.329499999983,-178,16,16,154.87,3.143999999999869,-202.96400000000008,-264,6,6,779.97,3.2400000000003275,890.9399999999886
2016-09-16,-0.1048049066749983,13.778163899004996,565784.4754220514,574235.399108,1137781.6389900516,-446,-15,-15,115.120003,3.180003749999912,279.9709332500004,-139,-10,-10,97.1,1.7200000000000273,-301.5800000000002,-350,-2,-2,769.75,1.5840000000000145,1002.3959999999984,-194,6,6,155.04,1.5360000000000356,355.26399999999865,-270,0,0,773.28,0.0,-2384.0999999999804
2016-09-15,-0.7634487882099991,13.882968805679994,581313.8971948014,569888.31,1138829.6880568014,-431,22,22,113.860001,7.073001100000067,-1690.8543820999953,-129,-3,-3,97.23,0.508500000000015,-42.418499999999796,-348,12,12,762.89,6.3419999999998256,-3237.101999999993,-200,12,12,154.3,2.687999999999943,-327.687999999997,-270,10,10,762.0,5.3250000000000455,-2336.4250000000056
2016-09-14,-0.24933028947000002,14.646417593889993,566769.8618619011,583115.268641,1146464.1759389013,-453,-18,-18,108.730003,3.1950027000001056,-1719.6148947000036,-126,-7,-7,97.35,1.6344999999999859,-108.73450000000027,-360,-15,-15,759.61,9.314999999999372,-1018.5149999999836,-212,-3,-3,155.7,0.6644999999999925,372.12549999999806,-280,-7,-7,762.2,4.49400000000021,-18.564000000011287
