,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-08-22,0.25589993946999806,35.20787111194497,694977.5311194507,655356.40121,1352078.7111194506,-605,6,6,108.860001,0.9990003000000116,516.2503946999981,-733,85,85,160.0,14.407500000000425,18.312499999993065,-607,32,32,773.27,9.551999999998952,2044.1379999999892,-80,-39,-39,46.42,5.0115000000000425,-19.701499999999655
2016-08-19,0.205972527265005,34.95197117247496,654351.4460017508,695132.7906109999,1349519.7117247507,-611,-67,-67,108.769997,8.643003349999557,-200.49272734999334,-818,-1,-1,160.84,0.17800000000000296,1079.0620000000174,-639,-46,-46,775.0,18.078000000000294,1196.042000000026,-41,-48,-48,46.34,5.976000000000159,-14.886000000000042
2016-08-18,0.06580984625999613,34.74599864520996,692534.2642761006,652228.141088,1347459.9864521006,-544,-4,-4,109.230003,0.606001399999991,75.59346259999396,-817,107,107,160.89,17.76200000000027,-817.5520000000121,-593,31,31,780.01,14.384000000001015,1411.6459999999795,7,-59,-59,46.57,7.139000000000047,-11.5890000000002
2016-08-17,-0.1468057595999989,34.68018879894996,652217.5906895003,693889.20054,1346801.8879895005,-540,-80,-80,109.099998,12.080016000000342,51.91790400000298,-924,8,8,160.97,1.2960000000000946,236.7839999999914,-624,-46,-46,777.32,21.941999999997826,-1742.1419999999835,66,-63,-63,46.51,8.347499999999929,-14.617499999999556
2016-08-16,0.433187564695004,34.82699455854996,688334.6469655007,649274.11862,1348269.9455855004,-460,-19,-19,109.629997,3.2869990499999293,45.56564694999715,-932,128,128,161.11,20.416000000001805,1177.9040000000023,-578,20,20,780.3,9.380000000000564,3096.820000000041,129,-66,-66,46.25,8.84399999999993,11.585999999999629
2016-08-15,0.011118157924997972,34.39380699385496,645632.1421435504,687772.601323,1343938.0699385505,-441,-85,-85,108.139999,11.305012750000557,-588.0064207499963,-1060,31,31,162.4,6.10700000000026,54.14299999999201,-598,-50,-50,783.75,12.499999999998863,480.43999999998346,195,-55,-55,45.82,6.544999999999909,164.60500000000064
2016-08-12,0.24828024329000156,34.38268883592996,687492.0390713003,644404.09,1343826.8883593003,-356,-61,-61,107.779999,9.394006099999764,-107.54406709999995,-1091,223,223,163.19,53.18549999999853,1746.414500000016,-548,15,15,781.5,6.584999999999127,936.9049999999988,250,-123,-123,45.41,16.112999999999854,-92.97299999999953
2016-08-11,-0.18677859410000264,34.13440859263996,638545.3176964003,688588.3200000001,1341344.0859264005,-295,-147,-147,108.519997,23.07900000000032,74.01055899999821,-1314,114,114,162.25,15.389999999999612,-1940.069999999983,-563,-65,-65,785.0,19.59750000000065,-94.50750000003836,373,-178,-178,45.51,22.339000000000173,92.78099999999674
2016-08-10,-0.12827160429999723,34.32118718673996,680366.0021634005,638204.88,1343211.8718674004,-148,-253,-253,108.709999,37.064499999998645,57.515457000001135,-1428,502,502,162.19,78.56299999999989,-732.0829999999968,-498,-29,-29,783.75,15.036499999999842,-238.9864999999792,551,-546,-546,45.8,66.61199999999917,-369.1619999999976
2016-08-09,-0.12005545043500229,34.44945879103996,603910.2781204004,680034.04,1344494.5879104002,105,-413,-413,108.230003,66.28647934999728,-77.90700434999792,-1930,391,391,162.22,72.13949999999662,378.5804999999656,-469,-180,-180,781.1,58.85999999999558,-1350.1599999999899,1097,-592,-592,45.95,79.32799999999936,-151.06800000000067
2016-08-08,0.4676913126300038,34.569514241474955,606567.8608607504,602023.48,1345695.1424147503,518,-717,-717,107.519997,124.39957170000284,365.2961263000026,-2321,1073,1073,162.73,211.38100000000904,4003.489000000021,-289,-216,-216,782.0,137.15999999999312,-51.7399999999885,1689,-892,-892,45.83,143.61199999999997,359.8680000000029
2016-08-05,0.0080792757600002,34.10182292884497,489670.28558345034,612021.06,1341018.2292884502,1235,-288,-288,106.269997,39.168014399999535,2064.3802576000016,-3394,-358,-358,162.0,64.08200000000278,-6521.281999999968,-73,-317,-317,773.78,115.22950000000692,-201.86950000002088,2581,124,124,44.63,14.755999999999796,4739.563999999989
2016-08-04,-0.33431124214500174,34.093743653084964,397433.5819618502,490465.80000000005,1340937.4365308504,1523,-31,-31,105.58000200000001,4.758498450000081,110.57457854998981,-3036,-556,-556,160.86,85.06799999999848,-2651.108000000056,244,-214,-214,772.22,89.77299999998891,-678.2929999999568,2457,359,359,43.74,55.28600000000073,-124.28599999999429
2016-08-03,0.36843927870000076,34.42805489522996,337902.0273983003,398461.6,1344280.5489523003,1554,-21,-21,104.809998,4.273499999999933,2038.3932870000112,-2480,-391,-391,160.13,60.40949999999618,-459.5594999999408,458,-164,-164,767.18,81.91799999999822,246.50199999993956,2098,302,302,42.93,47.262999999999934,1859.0569999999977
2016-08-02,-0.33321284966000064,34.05961561652995,280890.1314403002,335451.62000000005,1340596.1561653004,1575,-34,-34,106.050003,6.357996599999831,-2479.1079966000116,-2089,-345,-345,161.27,65.7224999999971,1689.6074999999605,622,-125,-125,768.69,133.37499999999807,-1782.9449999999565,1796,247,247,43.23,34.33300000000037,-759.6829999999986
2016-08-01,0.3332778639700064,34.39282846618996,249916.48983490016,281568.8,1343928.2846619003,1609,-42,-42,104.410004,6.027006299999994,2962.9396397000123,-1744,-201,-201,160.65,36.58199999999872,-1478.0719999999708,747,-71,-71,761.09,48.91900000000394,2459.611000000024,1549,33,33,43.92,3.9600000000001034,-611.7000000000011
2016-07-29,2.0481959920400006,34.05955060221996,223138.31767320022,247836.66,1340595.5060222002,1651,-76,-76,104.190002,13.793988600000013,-239.81857960000443,-1543,-167,-167,161.36,25.88500000000114,1129.6950000000004,818,-49,-49,772.71,27.80749999999866,20001.232500000002,1516,2,2,43.87,0.2490000000000066,-409.148999999994
2016-07-28,0.6391224977,32.01135461017995,204404.64300980023,222045.12,1320113.5461018002,1727,-40,-40,102.83000200000001,7.199996000000169,2388.5284770000053,-1376,-121,-121,161.38,20.509500000000607,558.0005000000083,867,-39,-39,747.04,18.447000000001843,3776.4629999999856,1514,-33,-33,44.0,4.256999999999881,-331.76700000000113
2016-07-27,1.5578721092700019,31.37223211247995,187424.87642580023,203096.65000000002,1313722.3211248,1767,-122,-122,104.269997,21.65501830000072,12002.303092700007,-1255,-110,-110,162.12,23.265000000000725,340.6849999999893,906,-22,-22,738.28,10.361999999999579,3021.6580000000213,1547,15,15,44.2,1.7550000000000452,214.07500000000076
2016-07-26,-0.17758253468000332,29.814360003209945,175801.31381010026,185627.4,1298143.6000321005,1889,32,32,96.82,6.271996799999852,-1255.2583468000123,-1145,-63,-63,162.65,9.859499999999986,596.9905000000012,928,-30,-30,739.04,10.664999999999509,-1285.3650000000212,1532,57,57,43.93,6.982500000000049,167.80749999999907
2016-07-25,-0.6358388814750038,29.99194253788995,170919.69280690025,175987.30000000002,1299919.4253789003,1857,11,11,98.25,1.6445027499999356,-2448.3893147500025,-1082,-24,-24,162.0,4.427999999999793,-633.6680000000131,958,-16,-16,740.67,6.943999999999141,-2885.324000000026,1475,55,55,44.31,6.957499999999925,-391.00749999999726
2016-07-22,0.11454299024999903,30.62778141936495,169076.26680965026,171470.06,1306277.8141936501,1846,-10,-10,99.260002,1.93500149999997,-1425.0475975000113,-1058,-10,-10,160.78,1.9800000000001319,-1712.6400000000049,974,-17,-17,741.86,6.681000000000108,4051.369000000014,1420,97,97,44.1,12.56149999999988,231.7484999999926
2016-07-21,-0.3095733711100009,30.513238429114956,161443.58429115027,168151.59999999998,1305132.3842911501,1856,22,22,99.83000200000001,2.992001099999965,-983.8102110999806,-1048,-42,-42,160.75,8.631000000000267,919.4290000000253,991,-25,-25,740.36,8.787499999999113,-2566.4975000000586,1323,97,97,44.5,12.124999999999863,-464.85499999999513
2016-07-20,0.2783163680800013,30.822811800224954,157800.73983625026,162328.16,1308228.1180022503,1834,6,6,100.0,0.7980012000000216,163.47468079999868,-1006,-39,-39,159.97,12.187500000000222,-1787.6575000000018,1016,-15,-15,737.33,7.492499999999836,4295.737500000019,1226,114,114,44.53,14.991000000000136,111.60899999999675
2016-07-19,0.3389942701600049,30.544495432144956,155190.96883745026,154313.86000000002,1305444.95432145,1828,-32,-32,99.559998,5.647998399999961,58.83370159998036,-967,-2,-2,161.78,0.4019999999999982,274.1980000000013,1031,0,0,729.89,0.0,3278.580000000066,1112,93,93,44.19,12.369000000000117,-221.6689999999986
2016-07-18,1.6406275886499944,30.205501161984948,161243.09789985028,154264.90000000002,1302055.01161985,1860,-90,-90,98.699997,12.600013499999761,1933.2053865000066,-965,35,35,159.3,6.09000000000043,-66.4900000000128,1031,16,16,722.71,6.94400000000096,14309.125999999947,1019,129,129,44.28,20.575499999999984,230.4345000000017
2016-07-15,-0.09298317016000292,28.56487357333495,162906.2876833503,159780.0,1285648.7357333503,1950,-104,-104,98.91999799999999,19.0839896000007,-25.06820160000202,-1000,20,20,159.9,4.819999999999823,502.7800000000001,1015,24,24,725.73,7.416000000001441,-1238.6360000000236,890,91,91,45.0,12.057499999999896,-168.90750000000372
2016-07-14,0.6185148187000056,28.657856743494957,173200.1053809503,163485.6,1286578.5674349505,2054,-50,-50,97.389999,7.075004999999663,3962.6006870000147,-1020,70,70,158.81,11.479999999999507,-2371.9799999999896,991,23,23,721.58,10.52249999999906,3817.9475000000275,799,100,100,44.38,13.300000000000125,776.5800000000031
2016-07-13,-0.5950726866599981,28.03934192479495,180601.42293595034,172241.80000000002,1280393.4192479504,2104,-18,-18,97.410004,2.321994599999999,-1159.6913665999903,-1090,62,62,157.75,11.160000000000775,-1123.380000000021,968,13,13,723.62,5.869499999999834,-3587.489499999969,699,126,126,43.33,17.136000000000173,-80.16599999999985
2016-07-12,0.4729511556649972,28.63441461145495,188002.67035855033,180910.08,1286344.1461145503,2122,33,33,97.16999799999999,4.8179983499998436,922.5815566499922,-1152,54,54,156.0,9.557999999999902,-2015.6579999999758,955,6,6,719.12,3.380999999999722,5272.688999999957,573,167,167,42.82,20.54100000000054,549.8989999999984
2016-07-11,0.8474525268000013,28.16146345578995,197666.03829090032,187327.98,1281614.6345579003,2089,5,5,96.75,0.7099989999999963,625.6462679999782,-1206,66,66,154.6,11.615999999999566,-1070.0760000000041,949,20,20,708.05,11.269999999999072,8917.870000000037,406,230,230,42.39,30.47499999999974,1.0850000000003348
2016-07-08,0.8400032081749963,27.314010928989955,213437.35928990034,196473.12000000002,1273140.1092899004,2084,-65,-65,96.489998,9.35999025000038,1568.545581749999,-1272,99,99,154.0,18.810000000000336,-2523.330000000018,929,30,30,699.5,17.97000000000071,9398.659999999982,176,251,251,41.8,37.273499999999274,-43.843499999999175
2016-07-07,-0.17468419827999512,26.474007720814953,220707.72291015036,212311.35,1264740.0772081504,2149,36,36,95.699997,5.922001800000237,869.054517200007,-1371,-9,-9,152.75,2.0205000000001063,-313.93049999998607,899,23,23,698.08,16.778500000000168,-2190.498499999973,-75,223,223,41.33,34.00750000000045,-111.46749999999932
2016-07-06,0.31777021096999863,26.648691919094954,235580.53130395038,219763.82,1266486.9191909502,2113,-22,-22,94.599998,3.234003300000052,1129.2081097000078,-1362,43,43,151.85,6.966000000000508,-954.0559999999967,876,26,26,689.98,13.07800000000052,2977.4619999999754,-298,228,228,40.15,35.112000000000464,25.08799999999981
2016-07-05,-0.41624601340500456,26.33092170812495,236374.09135125042,234560.68000000002,1263309.2170812504,2135,19,19,95.389999,2.982999050000098,-1914.9851340500068,-1405,-54,-54,151.19,9.638999999999522,869.070999999983,850,20,20,696.06,10.520000000000891,-3959.5200000000223,-526,171,171,41.38,23.256000000000235,842.974
2016-07-01,0.5820282125900028,26.74716772152996,249257.89933130037,235217.34,1267471.6772153005,2116,-33,-33,95.489998,5.725490099999977,604.2866259000078,-1351,52,52,152.19,13.624000000000319,-805.013999999991,830,31,31,692.2,16.53849999999941,5881.66150000001,-697,212,212,42.3,33.07199999999945,139.34800000000047
2016-06-30,0.38344203968000073,26.16513950893995,259405.54938740036,251479.85,1261651.3950894005,2149,-24,-24,94.440002,3.5040072000000695,2576.247396799997,-1403,66,66,148.86,13.298999999999161,-4697.65899999999,799,47,47,685.47,18.847000000002094,6301.243000000004,-909,138,138,42.68,22.701000000000338,-345.4110000000036
2016-06-29,-0.15366156912499912,25.781697469259953,283858.27034660033,262187.38,1257816.9746926003,2173,-57,-57,93.970001,10.032014249999587,1771.7713087500033,-1469,138,138,146.5,24.219000000000722,-4189.059000000031,752,72,72,683.0,33.587999999998104,2813.932000000037,-1047,200,200,41.14,34.30000000000007,-1933.2600000000002
2016-06-28,0.40766149018499803,25.935359038384952,308180.21930385043,284568.58,1259353.5903838503,2230,-61,-61,92.900002,10.82750915000036,3498.1214018499895,-1607,91,91,144.78,27.75500000000114,-3679.634999999983,680,86,86,678.97,47.38600000000188,7041.953999999976,-1247,227,227,39.81,37.7954999999995,-2783.825500000002
2016-06-27,0.09704534842999929,25.527697548199956,334740.29319100035,300382.52,1255276.9754820005,2291,-107,-107,93.0,21.453510700000535,-3180.016015699993,-1698,80,80,146.18,25.719999999999345,5253.900000000006,594,79,79,671.0,70.90250000000108,-3871.7625000000203,-1474,152,152,39.58,23.78799999999997,2768.3320000000003
2016-06-24,0.3813190934700001,25.430652199769956,343337.7572017004,326164.82,1254306.5219977004,2398,26,26,92.910004,3.9520013000000973,-6395.602565299998,-1778,-4,-4,149.97,0.9760000000000219,15552.783999999983,515,69,69,675.17,58.47750000000408,-11940.92749999999,-1626,-42,-42,40.63,6.362999999999883,6596.937000000006
2016-06-23,-0.4211208942950039,25.049333106299954,373245.3758070003,346015.54,1250493.3310630005,2372,-79,-79,95.940002,13.983003949999622,1321.41505704999,-1774,135,135,153.45,29.970000000001903,-4412.340000000014,446,77,77,697.45,37.65300000000077,1929.9769999999844,-1584,238,238,43.51,33.200999999999226,-3050.2610000000004
2016-06-22,0.20553452604000577,25.47045400059496,389600.20265295036,369687.24,1254704.5400059505,2451,-74,-74,96.25,13.578992599999447,-870.781739599992,-1909,57,57,153.75,8.208000000000634,2166.062000000046,369,60,60,699.06,38.280000000000655,335.3999999999992,-1822,145,145,42.87,19.86499999999986,424.6650000000044
2016-06-21,0.11820737408500127,25.26491947455495,406729.01464555034,387285.94000000006,1252649.1947455504,2525,-23,-23,94.940002,4.071001149999891,2037.5142408500037,-1966,88,88,154.16,18.2599999999989,-931.699999999993,309,57,57,698.4,31.549499999997874,390.1905000000111,-1967,146,146,43.17,23.87099999999966,-313.93100000000925
2016-06-20,-0.4734234346050025,25.146712100469955,429745.9861007005,405951.33999999997,1251467.1210047004,2548,-79,-79,96.0,13.232496049999876,-546.352846050021,-2054,116,116,152.6,23.89599999999937,-3422.136000000007,252,37,37,698.77,41.38450000000064,199.24550000000335,-2113,258,258,43.46,35.99099999999916,-964.9910000000008
2016-06-17,-1.2834197127,25.620135535074958,431171.1400967504,430538.38,1256201.3553507505,2627,-6,-6,96.620003,1.1040000000000192,-5838.626626999991,-2170,-14,-14,150.96,3.0100000000001277,-2022.5100000000152,215,-9,-9,708.65,6.925499999999738,-4029.9154999999973,-2371,190,190,42.44,28.78499999999947,-943.1449999999983
2016-06-16,-0.2050895275499976,26.903555247774957,425874.73457875045,433554.68,1269035.5524777505,2633,110,110,96.449997,18.590027500000218,1136.8507245000026,-2156,-82,-82,150.19,13.079000000001157,-872.5389999999921,224,-30,-30,714.91,11.50500000000011,-2049.2449999999876,-2561,62,62,41.61,9.05199999999996,-265.9619999999987
2016-06-15,-0.0008912066699989197,27.108644775324954,415937.2202762503,422702.55,1271086.4477532504,2523,58,58,97.82,10.817008700000361,-839.0570666999829,-2074,-85,-85,151.46,14.407500000000425,807.7124999999905,254,-29,-29,719.0,16.457499999999207,169.81249999999554,-2623,30,30,42.3,6.029999999999973,-147.37999999999238
2016-06-14,0.3730787003999971,27.109535981994952,409202.19228495046,411778.22000000003,1271095.3598199505,2465,92,92,97.32,18.49202299999986,279.15500399999326,-1989,-59,-59,151.28,12.44899999999941,425.1309999999984,283,-54,-54,716.48,29.511000000000784,-156.50100000000955,-2653,23,23,43.04,3.357999999999986,3183.0019999999886
2016-06-13,-0.028121269499998814,26.736457281594955,385097.2423079505,407466.56,1267364.5728159505,2373,172,172,98.690002,24.68195699999917,-3536.3861950000187,-1930,-143,-143,151.63,24.810499999999383,1973.069500000006,337,-62,-62,716.51,35.525999999997296,-569.1759999999805,-2676,-160,-160,43.23,21.76000000000022,1851.280000000005
2016-06-10,-0.11429986431500466,26.764578551094957,376975.8511089504,382737.58999999997,1267645.7855109503,2201,117,117,98.529999,20.650494149999858,-1694.430143149985,-1787,-43,-43,152.79,6.514500000000186,1842.7454999999695,399,-36,-36,719.47,16.560000000000493,-4003.35000000003,-2516,-93,-93,44.27,11.90399999999988,2712.035999999999
2016-06-09,0.377210142210005,26.87887841540996,368482.3499861004,376623.70999999996,1268788.7841541003,2084,201,201,98.5,28.943979900000578,1539.1364220999876,-1744,-51,-51,152.92,7.777500000000464,948.6625000000207,435,-25,-25,722.87,12.487499999999727,-17.23749999996926,-2423,-61,-61,45.18,7.93000000000007,1301.5400000000102
2016-06-08,0.39257608758000173,26.501668273199954,377338.4789660004,368334.72,1265016.6827320005,1883,126,126,99.019997,18.33302520000081,-186.5371241999947,-1693,41,41,153.53,6.703500000000196,-1149.2134999999787,460,5,5,723.96,1.8575000000003001,5311.392499999998,-2362,38,38,45.48,4.920999999999953,-49.88100000000726
2016-06-07,-0.009165035840002222,26.109092185619957,383518.6036132004,375170.22000000003,1261090.9218562003,1757,133,133,99.25,42.16097339999952,578.182141600002,-1734,25,25,153.31,4.512500000000017,-1059.4125000000397,455,26,26,719.84,15.989999999999645,-56.029999999991425,-2400,76,76,46.04,11.590000000000153,445.61000000000695
2016-06-06,-0.22034261240000264,26.118257221459956,412169.9170866004,381904.31,1261182.5722146004,1624,35,35,97.989998,4.934999999999889,1145.653376000017,-1759,142,142,153.09,23.714000000001036,229.32599999999053,429,62,62,724.91,33.883000000000905,-2677.13300000003,-2476,207,207,45.39,34.67250000000053,-901.2725000000041
2016-06-03,0.29493247367500347,26.33859983385996,433632.54151660035,412425.25999999995,1263385.9983386006,1589,75,75,97.790001,12.037496249999506,300.50773674999397,-1901,90,90,152.4,15.209999999998956,1243.4000000000262,367,46,46,729.27,24.954999999999792,-2930.9949999999803,-2683,56,56,45.11,6.888000000000182,4336.411999999995
2016-06-02,-0.42918973712000213,26.043667360184955,447987.06208785047,434269.33,1260436.6736018504,1514,96,96,97.599998,15.40799519999937,-1053.2048711999994,-1991,60,60,152.59,11.190000000000055,-1987.0800000000188,321,39,39,732.5,16.672499999999467,-1156.0725000000004,-2739,140,140,46.86,24.569999999999737,-95.54000000000306
2016-06-01,-0.07485944069999641,26.472857097304964,473315.9423910504,447938.27,1264728.5709730503,1418,110,110,99.019997,19.690011000000197,-1912.4924070000015,-2051,146,146,153.0,25.841999999999736,2604.928000000039,282,77,77,734.53,40.30949999999923,-391.4195000000091,-2879,39,39,46.04,5.050499999999952,-1049.6104999999925
2016-05-31,-0.19389465810500073,26.547716538004956,513755.4040720504,473658.04000000004,1265477.1653800504,1308,101,101,99.599998,16.261005050000414,-581.4270810500036,-2197,216,216,152.56,30.02399999999725,-1946.8440000000096,205,70,70,731.74,41.78999999999701,649.9100000000122,-2918,209,209,46.88,27.06549999999974,-60.585500000006434
2016-05-27,-0.12635439054000208,26.741611196109954,537417.0843751004,514458.57999999996,1267416.1119611005,1207,187,187,99.440002,38.24153740000074,70.72159459999651,-2413,146,146,152.35,25.258000000001097,-977.3180000000143,135,80,80,724.01,40.20000000000255,1121.4999999999936,-3127,31,31,46.24,4.727500000000061,-1478.4474999999966
2016-05-26,0.14956615869999965,26.86796558664996,589406.6517865004,535709.3400000001,1268679.6558665002,1020,180,180,99.68,32.66997300000003,762.331587000002,-2559,221,221,151.55,61.76949999999784,-1950.079500000001,55,85,85,722.87,41.692499999997835,99.05750000000148,-3158,136,136,47.04,23.188000000000365,2584.351999999994
2016-05-25,-1.1907570747999983,26.718399427949958,605983.7317595002,598076.6599999999,1267183.9942795003,840,228,228,98.66999799999999,37.05,1232.1917519999988,-2780,-19,-19,148.93,3.6765000000001127,-9388.296499999988,-30,56,56,720.76,45.10800000000163,-238.02799999999783,-3294,-237,-237,46.19,34.127999999999275,-3513.437999999994
2016-05-24,-0.7372065550799983,27.90915650274996,620249.8538035003,611605.67,1279091.5650275003,612,229,229,97.220001,40.30404579999903,678.4269491999996,-2761,-123,-123,146.88,20.233500000001175,-4258.643499999981,-86,65,65,706.86,30.22500000000059,-1563.625000000003,-3057,-308,-308,45.45,40.19400000000108,-2228.2239999999997
2016-05-23,0.18739146977499802,28.646363057829955,628310.1105783002,617526.89,1286463.6305783004,383,195,195,95.870003,28.37252924999906,308.30669775000484,-2638,-27,-27,147.61,5.346000000000356,1270.6139999999732,-151,44,44,706.53,35.33199999999888,936.4080000000027,-2749,-328,-328,44.85,47.723999999999016,-641.4140000000004
2016-05-20,-0.7432086630199968,28.458971588054958,643807.2456925503,631571.95,1284589.7158805504,188,196,196,94.639999,30.085990200000516,75.43436979999817,-2611,-88,-88,145.71,21.86800000000112,-6010.747999999983,-195,56,56,701.62,31.36000000000204,-1941.0599999999915,-2421,-302,-302,45.42,51.793000000000106,444.2870000000087
2016-05-19,0.9091616806999961,29.202180251074957,643206.4125027504,637674.4499760001,1292021.8025107502,-8,201,201,94.639999,33.366000000000504,-46.566193000002535,-2523,-229,-229,146.48,47.63200000000094,5835.857999999987,-251,36,36,702.36,23.34599999999964,1714.183999999986,-2119,-262,-262,45.6,57.50900000000057,1588.1409999999903
2016-05-18,-0.30278679602499897,28.293018570374958,643943.5036137503,645744.399582,1282930.1857037502,-209,167,167,94.160004,30.811458250001035,-366.3324602499997,-2294,-138,-138,147.99,29.04900000000025,1483.6109999999933,-287,13,13,703.67,12.616499999999906,-94.13649999999261,-1857,-205,-205,43.75,31.57000000000042,-4051.009999999991
2016-05-17,0.5244432246500011,28.595805366399958,637867.2906560003,638301.639248,1285958.0536640002,-376,150,150,94.550003,35.54997749999927,10.588746500001776,-2156,-81,-81,149.21,18.427499999999817,3109.0825000000173,-300,10,10,715.99,7.414999999999509,3075.5849999999978,-1652,-203,-203,43.07,25.983999999999735,-950.8240000000064
2016-05-16,-0.7532163788800008,28.071362141749955,650325.0908915002,644146.628422,1280713.6214175003,-526,152,152,92.389999,27.891984800001026,-2079.4922888000006,-2075,-78,-78,147.65,17.3160000000011,-3633.2760000000194,-310,21,21,709.13,9.870000000000095,-1728.769999999989,-1449,-183,-183,43.11,32.66549999999968,-90.62549999999845
2016-05-13,0.3997378572399973,28.824578520629956,635514.8931723004,646231.387966,1288245.7852063002,-678,64,64,90.0,16.991993600000022,-117.27292760000302,-1997,-114,-114,148.79,24.39600000000049,2206.544000000007,-331,1,1,711.93,0.6125000000000455,821.6474999999683,-1266,-212,-212,43.98,36.04000000000006,1086.46
2016-05-12,0.29361760412999777,28.42484066338996,644569.4221819004,630492.917032,1284248.4066339002,-742,94,94,92.720001,14.617004700000587,1575.7875413000004,-1883,-41,-41,149.21,8.917500000000281,208.8724999999727,-332,12,12,717.06,8.20800000000072,627.9120000000055,-1054,-126,-126,44.84,18.395999999999923,523.6039999999994
2016-05-11,0.5623223368900012,28.131223059259966,631919.1672486004,639032.181672,1281312.2305926,-836,58,58,93.480003,10.033997099999784,747.2423688999937,-1842,-34,-34,149.71,7.31000000000031,1862.6900000000187,-344,-3,-3,723.41,1.46700000000003,2713.3829999999953,-928,-136,-136,44.66,18.97199999999956,299.9080000000037
2016-05-10,-0.9730788412499977,27.568900722369957,650501.9618597,636780.898212,1275689.0072237002,-894,90,90,93.33000200000001,14.310004499999508,-626.1274124999899,-1808,68,68,148.24,10.84600000000096,-4827.085999999994,-341,10,10,716.75,5.355000000000473,-3549.3349999999914,-792,-80,-80,44.34,11.840000000000146,-728.2400000000022
2016-05-09,-0.04547349716500213,28.54197956361996,634496.7366202004,649192.7809840001,1285419.7956362,-984,27,27,93.0,4.859998650000034,-81.29997165000744,-1876,-23,-23,147.7,6.325000000000262,-90.69500000002164,-351,0,0,712.0,0.0,-624.7799999999904,-712,-120,-120,44.31,16.19999999999959,342.03999999999826
2016-05-06,-0.4487322898000005,28.587453060784966,660657.5555528501,642562.1310109999,1285874.5306078505,-1011,73,73,93.370003,12.373500000000366,503.85310200000345,-1853,12,12,144.86,2.310000000000014,-1502.4499999999875,-351,28,28,698.38,12.040000000001147,-3327.830000000022,-592,-96,-96,43.81,14.015999999999941,-160.89599999999925
2016-05-05,-0.4932390762699954,29.03618535058496,630916.7513378502,662018.7578319999,1290361.8535058503,-1084,-47,-47,94.0,9.58800470000035,1011.2862373000069,-1865,-104,-104,145.95,19.1879999999991,-3982.6879999999983,-379,0,0,697.7,0.0,-2171.6699999999637,-496,-113,-113,44.78,16.158999999999917,210.68100000000047
2016-05-04,-0.010687383220001892,29.52942442685496,667640.3925645503,632474.3620740001,1295294.24426855,-1037,78,78,95.199997,15.83399220000003,1009.2341678000007,-1761,39,39,143.36,7.799999999999779,-189.0900000000084,-379,34,34,690.49,13.32800000000102,-1215.6080000000131,-383,-72,-72,44.88,10.259999999999774,288.59000000000185
2016-05-03,0.282196129100003,29.540111810074954,626188.2147907505,665676.65,1295401.1181007503,-1115,-47,-47,94.199997,8.648000000000149,-1699.4292090000044,-1800,-171,-171,144.65,39.07350000000043,1906.9065000000255,-413,-17,-17,696.87,9.893999999999505,2383.3760000000093,-311,-108,-108,45.77,15.822000000000191,231.10799999999998
2016-05-02,-0.12454338158000441,29.257915680974953,665568.1036057506,622619.5489320001,1292579.1568097505,-1068,84,84,93.970001,17.6819958000004,69.79668419999652,-1629,61,61,146.56,15.707499999999932,1037.9024999999795,-396,43,43,697.63,22.83300000000172,-2280.69300000002,-203,-73,-73,46.54,10.219999999999938,-72.4399999999998
2016-04-29,0.20251617499500008,29.382459062554958,628480.5029295504,664874.867696,1293824.5906255501,-1152,-93,-93,93.989998,26.179486049999486,1151.3847499500084,-1690,-171,-171,146.49,46.68300000000031,1763.8369999999948,-439,-23,-23,690.7,30.612999999999875,-911.5830000000024,-130,-103,-103,46.52,15.346999999999948,21.523000000000142
