,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-04-28,1.4395806812650014,29.179942887559964,650872.2988756003,612550.3321179999,1291799.4288756005,-1059,73,73,97.610001,18.359496350000118,3163.3783126499848,-1519,43,43,149.75,8.191499999999639,5187.368500000009,-416,20,20,708.26,18.610000000000582,6098.110000000021,-27,-100,-100,46.79,15.250000000000199,-53.050000000000075
2016-04-27,0.48395170578500074,27.740362206294957,626790.8720629505,653512.62,1277403.6220629506,-1132,-157,-157,96.0,26.611492149999023,6054.396557850007,-1562,-73,-73,149.35,14.19850000000078,-2165.668499999981,-436,-19,-19,707.29,23.502999999998927,963.1469999999808,73,-84,-84,46.89,11.50799999999992,-12.358000000000219
2016-04-26,0.656690743399999,27.25641050050996,633880.6652551006,619015.74805,1272564.1050051004,-975,-17,-17,103.910004,2.669000000000037,689.194934000008,-1489,35,35,148.65,6.632499999999538,-403.06250000001495,-417,12,12,725.42,6.20400000000036,6225.725999999996,157,-78,-78,46.71,10.880999999999748,55.04900000000109
2016-04-25,-0.1984013416000002,26.599719757109963,625523.9994871004,637684.431916,1265997.1975711002,-958,-35,-35,105.0,6.755000000000123,544.243083999999,-1524,-12,-12,148.16,3.3000000000001366,-479.82000000000363,-429,-14,-14,716.1,17.156999999999833,-1933.5569999999977,235,-103,-103,46.63,14.059499999999655,-114.87949999999954
2016-04-22,1.7086806929800011,26.798121098709963,623885.5172951005,620364.19,1267981.2109871006,-923,-8,-8,105.010002,1.364001200000007,258.62692979999036,-1512,114,114,149.44,32.26199999999917,1161.3780000000195,-415,-36,-36,726.3,23.219999999998528,15548.090000000002,338,-138,-138,46.69,18.76800000000019,118.71199999999844
2016-04-21,-0.6671619162899998,25.089440405729963,611213.1149723004,627438.410915,1250894.4040573006,-915,1,1,106.93,0.2014998999999932,1061.394837100006,-1626,119,119,146.58,30.939999999999593,-5273.809999999996,-379,-35,-35,755.38,17.709999999998217,-2374.990000000007,476,-174,-174,46.79,26.27400000000034,-84.2140000000011
2016-04-20,-0.2715933479850028,25.756602322019965,618930.4523042004,612011.507252,1257566.0232202003,-916,21,21,106.639999,3.9584968500001083,-199.80197985000228,-1745,157,157,144.24,49.768999999997575,-3769.3990000000226,-344,-35,-35,758.0,39.49750000000029,536.3924999999982,650,-185,-185,45.74,24.975000000000684,716.8749999999989
2016-04-19,2.122924499400002,26.02819567000497,594311.7760700505,607027.0437479999,1260281.9567000505,-937,-12,-12,107.879997,2.405996999999968,536.4829939999962,-1902,-1,-1,146.47,0.18250000000001024,16217.817500000003,-309,-41,-41,769.51,26.137500000000934,4010.8825000000184,835,-189,-189,45.42,28.727999999999927,464.0620000000031
2016-04-18,-0.13632291140000027,23.905271170604966,601683.5263310506,594830.0127750001,1239052.7117060504,-925,-11,-11,108.889999,2.5135000000000276,2179.171886000003,-1901,197,197,151.75,30.92899999999763,-1576.6490000000022,-268,-28,-28,760.46,14.433999999998651,-2013.0340000000012,1024,-211,-211,44.42,41.777999999999786,47.281999999997886
2016-04-15,-0.017474885509998626,24.04159408200497,585199.8771640505,600871.458172,1240415.9408200507,-914,-46,-46,112.110001,7.037993100000285,2049.9221448999997,-2098,84,84,151.04,18.39599999999998,-1183.1960000000045,-240,-32,-32,753.98,10.576000000000203,-1377.6159999999902,1235,-314,-314,46.45,51.338999999999274,336.1410000000087
2016-04-14,0.0729173658049975,24.059068967514964,586129.7027311504,583799.518264,1240590.6896751504,-868,-23,-23,111.620003,4.07099195000011,-65.80834194999646,-2182,202,202,151.5,36.36000000000253,61.83999999998046,-208,-32,-32,754.01,19.391999999999097,-253.95200000000403,1549,-468,-468,44.14,92.19600000000062,987.0939999999948
2016-04-13,-0.15871550973999893,23.986151601709967,568385.7817921004,587508.840845,1239861.5160171003,-845,-48,-48,110.800003,9.215990399999828,-1343.9350973999972,-2384,318,318,150.75,56.12700000000318,-4226.686999999992,-176,-73,-73,749.16,54.092999999997275,-1129.8630000000012,2017,-735,-735,42.55,104.37000000000117,5113.330000000001
2016-04-12,-0.08065605828499937,24.144867111449965,560190.6890845004,568859.211594,1241448.6711145004,-797,-103,-103,109.339996,19.466994850000166,-1118.2510828500033,-2702,318,318,149.61,75.2070000000039,-1216.446999999996,-103,-63,-63,738.0,34.492499999999424,-634.7625000000018,2752,-817,-817,41.28,114.37999999999931,2162.900000000007
2016-04-11,0.27108802620999767,24.22552316973497,533074.4682273504,555838.877918,1242255.2316973505,-694,-202,-202,108.970001,36.35998990000026,-223.57573790000316,-3020,188,188,150.26,36.37800000000111,94.5419999999826,-40,-96,-96,743.02,57.12000000000044,436.39999999999816,3569,-672,-672,40.74,97.77599999999798,2403.513999999999
2016-04-08,-0.21665590660000017,23.954435143524968,495557.79946725024,532575.521968,1239544.3514352504,-492,-280,-280,108.910004,60.199929999998744,-15.640565999998103,-3208,-45,-45,149.06,8.100000000000563,-3500.4499999999816,56,-123,-123,743.97,78.22800000000716,312.3619999999998,4241,-457,-457,40.86,80.66050000000132,1037.1694999999786
2016-04-07,-0.3360532228999972,24.17109105012497,422301.9419852503,491925.230212,1241710.9105012503,-212,-350,-350,109.949997,66.15010499999826,93.38877100000013,-3163,-350,-350,149.07,75.94999999999658,5190.06000000003,179,-129,-129,745.37,81.78599999999895,-1091.4560000000201,4698,-119,-119,41.3,16.064999999999593,-7552.524999999982
2016-04-06,0.39873433730000174,24.507144273024966,377115.6828682502,422006.26,1245071.44273025,138,-260,-260,110.230003,43.030064999999865,224.87137300000143,-2813,-330,-330,149.9,65.17499999999887,-154.43500000002578,308,-78,-78,735.77,36.776999999997585,2235.003000000035,4817,-34,-34,41.53,4.726000000000051,1681.9040000000068
2016-04-05,-0.23440743175000367,24.108409935724968,331672.5301532502,372450.0,1241084.0993572501,398,-262,-262,109.510002,51.35206550000079,-994.5543175000015,-2483,-312,-312,151.43,56.316000000000216,4883.813999999988,386,-88,-88,738.0,54.42800000000152,-3587.088000000002,4851,46,46,41.45,6.256000000000063,-2646.2460000000206
2016-04-04,-0.25718412320999595,24.342817367474968,283406.9016947502,330143.97,1243428.1736747501,660,-214,-214,110.41999799999999,40.66003209999883,797.1632678999977,-2171,-295,-295,152.34,69.47250000000221,854.3775000000328,474,-81,-81,750.06,62.12700000000243,-2239.8570000000063,4805,-49,-49,42.36,8.084999999999889,-1983.5249999999835
2016-04-01,0.425332714324991,24.60000149068497,248933.32665485024,286127.52,1246000.0149068502,874,-191,-191,108.779999,28.84104775000025,805.0491432500004,-1876,-221,-221,150.51,63.427000000002614,-2278.4870000000424,555,-65,-65,738.6,38.70749999999953,2301.3424999999565,4854,-189,-189,41.52,25.98750000000027,3425.422499999995
2016-03-31,-0.9604352953999944,24.174668776359976,208102.9398936003,250649.74999999997,1241746.6877636001,1065,-182,-182,109.720001,34.761999999998906,-612.691453999991,-1655,-277,-277,149.79,56.646500000000444,-4705.5864999999885,620,-86,-86,749.25,47.901999999999454,-3617.581999999952,5043,-69,-69,41.83,9.452999999999934,-668.4930000000131
2016-03-30,0.9147754858800017,25.135104071759972,162011.7632116003,204508.97999999998,1251351.0407176001,1247,-196,-196,108.650002,48.11803920000015,2486.359858799982,-1378,-292,-292,149.95,62.19599999999987,1386.604000000015,706,-90,-90,750.1,92.20499999999697,4454.055,5112,-22,-22,41.98,2.904000000000079,820.7360000000186
2016-03-29,1.0155946143599985,24.22032858587997,121400.54585880027,162172.38,1242203.2858588002,1443,-147,-147,104.889999,23.005529400000313,3525.961143599999,-1086,-270,-270,147.59,46.16999999999945,-1274.8500000000074,796,-70,-70,734.59,29.71500000000401,8991.525000000009,5134,-226,-226,41.78,28.24999999999968,-1086.6900000000144
2016-03-28,-0.2795946374799946,23.204733971519975,84833.45653520024,121094.40000000001,1232047.3397152002,1590,-136,-136,106.0,22.848006799999304,-741.1613747999755,-816,-239,-239,147.75,68.47349999999886,-483.47350000001006,866,-64,-64,736.79,27.999999999998543,-1465.4599999999823,5360,-93,-93,42.1,13.53149999999972,-105.85149999997806
2016-03-24,-0.7752942347600005,23.48432860899997,57989.279542000244,85367.15,1234843.2860900003,1726,-104,-104,105.470001,16.483989600000108,-879.0818476000189,-577,-196,-196,144.98,48.02000000000201,-1601.6899999999953,930,-61,-61,732.01,35.288500000003275,-2971.138499999992,5453,102,102,41.78,16.421999999999997,-2301.031999999999
2016-03-23,-0.816127812430007,24.25962284375997,32860.40392760023,55397.4,1242596.2284376002,1830,-103,-103,106.480003,21.012010299999307,-1125.439124299987,-381,-166,-166,148.0,28.552000000000454,983.5479999999961,991,-45,-45,742.36,21.464999999997872,-2614.805000000051,5351,2,2,43.28,0.27200000000000274,-5404.582000000028
2016-03-22,-0.12335541434500329,25.075750656189975,13186.824628900229,31841.5,1250757.5065619005,1933,-83,-83,105.25,18.71651244999946,1492.227356549992,-215,-138,-138,148.06,27.531000000000848,7.759000000000338,1036,-35,-35,737.46,19.21499999999844,-1569.505000000031,5349,71,71,43.27,10.68549999999997,-1164.035499999994
