,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL,MSFT Position,MSFT Order,MSFT Filled Order,MSFT Trade Price,MSFT Cost to Trade,MSFT PnL
2016-05-16,-0.755922626980001,27.719359338644985,646052.5528674495,645088.958443,1277193.5933864494,-519,142,142,92.389999,26.05698580000096,-2035.4372698000009,-2048,-99,-99,147.65,21.978000000001394,-3592.4280000000194,-306,17,17,709.13,7.9900000000000775,-1711.0499999999897,-1431,-196,-196,43.11,34.985999999999656,-92.22599999999844,-179,45,45,50.8,6.434999999999967,-128.08499999999992
2016-05-13,0.3999772077699973,28.475281965624987,636227.7576732493,642020.858017,1284752.8196562496,-661,67,67,90.0,17.788493300000024,-113.9894223000029,-1949,-101,-101,148.79,21.614000000000438,2156.216000000007,-323,2,2,711.93,1.225000000000091,802.574999999969,-1235,-201,-201,43.98,34.17000000000006,1060.96,-224,31,31,51.44,4.4794999999999785,94.01049999999998
2016-05-12,0.2766204946849979,28.075304757854994,640623.0832105494,631280.6370880001,1280753.0475785495,-728,83,83,92.720001,12.906504150000519,1549.4279468500006,-1848,-62,-62,149.21,13.485000000000422,205.91499999997347,-325,9,9,717.06,6.156000000000541,621.4140000000056,-1034,-134,-134,44.84,19.563999999999915,515.9959999999995,-255,32,32,51.2,4.4480000000000475,-126.54800000000044
2016-05-11,0.5448019449100013,27.798684263169985,633255.1793876995,634631.5216219999,1277986.8426316995,-811,62,62,93.480003,10.725996899999767,723.5604490999938,-1786,-20,-20,149.71,4.300000000000182,1812.2200000000182,-334,0,0,723.41,0.0,2635.2599999999957,-900,-126,-126,44.66,17.576999999999593,292.74300000000363,-287,28,28,51.13,4.073999999999916,-15.763999999998187
2016-05-10,-0.9775756463949978,27.253882318259983,645587.9979445996,638722.2582540001,1272538.8231825994,-873,79,79,93.33000200000001,12.561003949999568,-605.2084639499901,-1766,49,49,148.24,7.815500000000691,-4696.495499999993,-334,5,5,716.75,2.6775000000002365,-3455.4474999999916,-774,-85,-85,44.34,12.580000000000155,-709.6300000000022,-315,25,25,50.33,3.224999999999909,-308.97500000000076
2016-05-09,-0.03421594664000204,28.231457964654982,635658.4905985496,644695.2909520001,1282314.5796465494,-952,32,32,93.0,5.759998400000041,-81.3599664000072,-1815,-12,-12,147.7,3.3000000000001366,-89.13000000002087,-339,2,2,712.0,1.575,-606.7549999999908,-689,-113,-113,44.31,15.254999999999615,331.7249999999983,-340,23,23,50.49,3.139499999999923,103.36050000000013
2016-05-06,-0.4564967752000005,28.265673911294993,656697.2141929495,643164.000984,1282656.7391129495,-984,60,60,93.370003,10.1700000000003,493.7067480000034,-1803,-7,-7,144.86,1.3475000000000081,-1491.0774999999874,-341,24,24,698.38,10.320000000000983,-3241.4100000000203,-576,-98,-98,43.81,14.30799999999994,-159.14799999999923,-363,34,34,49.92,4.369000000000037,-167.03900000000118
2016-05-05,-0.4802224401699956,28.72217068649499,632362.5947769497,657392.7479119999,1287221.7068649495,-1044,-37,-37,94.0,7.548003700000277,977.2260983000066,-1796,-87,-87,145.95,16.05149999999925,-3855.271499999998,-365,3,3,697.7,1.9110000000001037,-2099.3609999999653,-478,-106,-106,44.78,15.157999999999923,203.1020000000004,-397,1,1,49.87,0.13000000000000114,-27.920000000000115
2016-05-04,-0.016119131250001667,29.202393126664983,662874.6193226497,633851.962014,1292023.9312666496,-1007,65,65,95.199997,13.194993500000024,982.4331875000006,-1709,20,20,143.36,3.9999999999998863,-193.6800000000079,-368,29,29,690.49,11.36800000000087,-1186.2580000000125,-372,-73,-73,44.88,10.402499999999772,277.7475000000018,-398,28,28,49.84,3.9340000000000432,-41.43399999999863
2016-05-03,0.3075279354000029,29.21851225791499,627378.0690111495,660932.36,1292185.1225791497,-1072,-37,-37,94.199997,6.808000000000118,-1636.9691460000045,-1729,-151,-151,144.65,34.50350000000038,1842.9365000000244,-397,-13,-13,696.87,7.5659999999996215,2297.464000000009,-299,-102,-102,45.77,14.94300000000018,224.12699999999998,-426,-14,-14,50.34,2.0789999999999598,347.7209999999994
