,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL
2016-08-12,-0.4029141998099995,-21.82918719725009,518.642577498601,787009.5,781708.1280274986,-7275,-7271,-7271,107.779999,1119.7347270999717,-4029.141998099995
2016-08-11,-0.48950853070000416,-21.426272997440087,785300.8300495986,431.72,785737.2700255986,-4,7231,7231,108.519997,1135.2670000000157,-4895.085307000041
2016-08-10,0.2293741499000073,-20.936764466740087,-1021.330197401318,781380.0,790632.3553325986,-7235,-14469,-14469,108.709999,2119.708499999923,2293.741499000073
2016-08-09,0.31829238299999724,-21.166138616640094,1207.0883015985048,-0.0,788338.6138335986,7234,0,0,108.230003,0.0,3182.9238299999724
2016-08-08,0.6437992987800004,-21.484430999640093,1207.0883015985048,-0.0,785155.6900035986,7234,-2,-2,107.519997,0.3470002000000079,6437.992987800004
2016-08-05,1.1648888011899996,-22.128230298420092,992.3953077985047,-0.0,778717.6970157985,7236,2,2,106.269997,0.2720000999999968,11648.888011899995
2016-08-04,0.057884746609995125,-23.293119099610095,1205.2073018985047,-0.0,767068.8090038985,7234,2,2,105.58000200000001,0.30699990000000527,578.8474660999512
2016-08-03,0.9474032031000054,-23.35100384622009,1416.6743057985047,-0.0,766489.9615377985,7232,-1,-1,104.809998,0.20349999999999682,9474.032031000053
2016-08-02,-1.1356183999800054,-24.298407049320094,1312.0678077985049,-0.0,757015.9295067985,7233,-2,-2,106.050003,0.37399979999999006,-11356.183999800054
2016-08-01,1.3311741929700054,-23.162788649340087,1100.3418015985048,-0.0,768372.1135065986,7235,2,2,104.410004,0.2870002999999997,13311.741929700054
2016-07-29,-0.09402683010000218,-24.493962842310093,1309.4488098985048,-0.0,755060.3715768984,7233,0,0,104.190002,0.0,-940.2683010000218
2016-07-28,1.0053862767000021,-24.39993601221009,1309.4488098985048,-0.0,756000.6398778985,7233,0,0,102.83000200000001,0.0,10053.86276700002
2016-07-27,4.541545526785003,-25.405322288910092,1309.4488098985048,-0.0,745946.7771108984,7233,1,1,104.269997,0.17750015000000588,45415.455267850026
2016-07-26,-0.48475735237000495,-29.946867815695093,1413.896307048505,-0.0,700531.3218430484,7232,-3,-3,96.82,0.5879996999999861,-4847.573523700049
2016-07-25,-0.9549736872500009,-29.462110463325086,1124.0243067485048,-0.0,705378.8953667486,7235,2,2,98.25,0.2990004999999883,-9549.736872500009
2016-07-22,-0.5570471562450043,-28.507136776075086,1320.8233072485048,-0.0,714928.6322392485,7233,-3,-3,99.260002,0.5805004499999911,-5570.471562450044
2016-07-21,-0.3835072763999923,-27.950089619830084,1023.6238016985047,-0.0,720499.1038016987,7236,0,0,99.83000200000001,0.0,-3835.0727639999236
2016-07-20,0.06506850615999948,-27.566582343430092,1023.6238016985047,-0.0,724334.1765656986,7236,2,2,100.0,0.2660004000000072,650.6850615999948
2016-07-19,0.02884742260999242,-27.631650849590088,1223.8898020985048,-0.0,723683.4915040985,7234,-2,-2,99.559998,0.35299989999999754,288.4742260999242
2016-07-18,0.7597641713550027,-27.66049827220008,1025.1228059985049,-0.0,723395.0172779986,7236,3,3,98.699997,0.4200004499999921,7597.641713550028
2016-07-15,-0.007250497470000047,-28.42026244355508,1321.642797448505,-0.0,715797.3755644485,7233,-3,-3,98.91999799999999,0.5504997000000202,-72.50497470000047
2016-07-14,1.389310552800005,-28.413011946085085,1025.433303148505,-0.0,715869.8805391485,7236,0,0,97.389999,0.0,13893.105528000047
2016-07-13,-0.3979882825699968,-29.802322498885086,1025.433303148505,-0.0,701976.7750111484,7236,1,1,97.410004,0.12899969999999997,-3979.8828256999677
